Name,Year,Oscars_ID,Won
Wings,1927,1,Yes
7th Heaven,1927,1,No
The Racket,1928,1,No
The Broadway Melody,1929,2,Yes
Alibi,1929,2,No
Hollywood Revue,1929,2,No
In Old Arizona,1928,2,No
The Patriot,1928,2,No
All Quiet on the Western Front,1930,3,Yes
The Big House,1930,3,No
Disraeli,1929,3,No
The Divorcee,1930,3,No
The Love Parade,1929,3,No
Cimarron,1931,4,Yes
East Lynne,1931,4,No
The Front Page,1931,4,No
Skippy,1931,4,No
Trader Horn,1931,4,No
Grand Hotel,1932,5,Yes
Arrowsmith,1931,5,No
Bad Girl,1931,5,No
The Champ,1931,5,No
Five Star Final,1931,5,No
One Hour with You,1932,5,No
Shanghai Express,1932,5,No
The Smiling Lieutenant,1931,5,No
Cavalcade,1933,6,Yes
42nd Street,1933,6,No
A Farewell to Arms,1932,6,No
I Am a Fugitive from a Chain Gang,1932,6,No
Lady for a Day,1933,6,No
Little Women,1933,6,No
The Private Life of Henry VIII,1933,6,No
She Done Him Wrong,1933,6,No
Smilin' Through,1932,6,No
State Fair,1933,6,No
It Happened One Night,1934,7,Yes
The Barretts of Wimpole Street,1934,7,No
Cleopatra,1934,7,No
Flirtation Walk,1934,7,No
The Gay Divorcee,1934,7,No
Here Comes the Navy,1934,7,No
The House of Rothschild,1934,7,No
Imitation of Life,1934,7,No
One Night of Love,1934,7,No
The Thin Man,1934,7,No
Viva Villa!,1934,7,No
The White Parade,1934,7,No
Mutiny on the Bounty,1935,8,Yes
Alice Adams,1935,8,No
Broadway Melody of 1936,1935,8,No
Captain Blood,1935,8,No
David Copperfield,1935,8,No
The Informer,1935,8,No
The Lives of a Bengal Lancer,1935,8,No
A Midsummer Night's Dream,1935,8,No
Les Misérables,1935,8,No
Naughty Marietta,1935,8,No
Ruggles of Red Gap,1935,8,No
Top Hat,1935,8,No
The Great Ziegfeld,1936,9,Yes
Anthony Adverse,1936,9,No
Dodsworth,1936,9,No
Libeled Lady,1936,9,No
Mr. Deeds Goes to Town,1936,9,No
Romeo and Juliet,1936,9,No
San Francisco,1936,9,No
The Story of Louis Pasteur,1936,9,No
A Tale of Two Cities,1935,9,No
Three Smart Girls,1936,9,No
The Life of Emile Zola,1937,10,Yes
The Awful Truth,1937,10,No
Captains Courageous,1937,10,No
Dead End,1937,10,No
The Good Earth,1937,10,No
In Old Chicago,1938,10,No
Lost Horizon,1937,10,No
One Hundred Men and a Girl,1937,10,No
Stage Door,1937,10,No
A Star Is Born,1937,10,No
You Can't Take It with You,1938,11,Yes
The Adventures of Robin Hood,1938,11,No
Alexander's Ragtime Band,1938,11,No
Boys Town,1938,11,No
The Citadel,1938,11,No
Four Daughters,1938,11,No
Grand Illusion,1937,11,No
Jezebel,1938,11,No
Pygmalion,1938,11,No
Test Pilot,1938,11,No
Gone with the Wind,1939,12,Yes
Dark Victory,1939,12,No
"Goodbye, Mr. Chips",1939,12,No
Love Affair,1939,12,No
Mr. Smith Goes to Washington,1939,12,No
Ninotchka,1939,12,No
Of Mice and Men,1939,12,No
