Name,Year,Oscars_ID,Won,imdb_rating,imdb_votes,box_office,metascore,rotten_tomatoes_rating
Wings,1927,1,Yes,7.6,"14,190",,N/A,94
7th Heaven,1927,1,No,7.6,"4,051",,N/A,100
The Racket,1928,1,No,6.6,"1,500",,N/A,100
The Broadway Melody,1929,2,Yes,5.6,"7,839",,66,40
Alibi,1929,2,No,5.7,912,,N/A,56
Hollywood Revue,1929,2,No,5.8,"2,228",,N/A,43
In Old Arizona,1928,2,No,5.5,"1,257",2834000,N/A,56
The Patriot,1928,2,No,N/A,N/A,,N/A,100
All Quiet on the Western Front,1930,3,Yes,8.1,"66,942",,91,98
The Big House,1930,3,No,7.1,"2,505",,74,75
Disraeli,1929,3,No,6.1,"1,350",,N/A,
The Divorcee,1930,3,No,6.7,"3,555",,N/A,78
The Love Parade,1929,3,No,7.0,"2,541",,N/A,100
Cimarron,1931,4,Yes,5.8,"6,772",,70,52
East Lynne,1931,4,No,5.8,303,,N/A,
The Front Page,1931,4,No,6.7,"3,347",1526000,76,88
Skippy,1931,4,No,6.3,951,,N/A,86
Trader Horn,1931,4,No,6.1,"1,098",,N/A,100
Grand Hotel,1932,5,Yes,7.3,"20,630",,N/A,87
Arrowsmith,1931,5,No,6.2,"1,929",,N/A,89
Bad Girl,1931,5,No,6.4,"1,553",,N/A,
The Champ,1931,5,No,7.2,"3,543",,N/A,96
Five Star Final,1931,5,No,7.3,"2,423",,N/A,91
One Hour with You,1932,5,No,7.1,"2,858",,N/A,86
Shanghai Express,1932,5,No,7.3,"10,141",8066000,83,96
The Smiling Lieutenant,1931,5,No,7.2,"4,062",,N/A,
Cavalcade,1933,6,Yes,5.8,"5,782",,73,66
42nd Street,1933,6,No,7.3,"12,885",,83,96
A Farewell to Arms,1932,6,No,6.4,"6,641",,N/A,94
I Am a Fugitive from a Chain Gang,1932,6,No,8.2,"14,227",,N/A,96
Lady for a Day,1933,6,No,7.4,"4,531",,N/A,100
Little Women,1933,6,No,7.2,"7,825",,92,89
The Private Life of Henry VIII,1933,6,No,7.0,"4,779",,N/A,95
She Done Him Wrong,1933,6,No,6.3,"6,901",,N/A,90
Smilin' Through,1932,6,No,6.9,"1,500",,N/A,
State Fair,1933,6,No,6.7,"1,036",,N/A,100
It Happened One Night,1934,7,Yes,8.1,"110,918",,87,98
The Barretts of Wimpole Street,1934,7,No,6.9,"2,089",,N/A,
Cleopatra,1934,7,No,6.8,"4,518",,N/A,82
Flirtation Walk,1934,7,No,5.6,822,,N/A,100
The Gay Divorcee,1934,7,No,7.4,"8,462",,80,93
Here Comes the Navy,1934,7,No,6.2,"1,141",,N/A,80
The House of Rothschild,1934,7,No,6.5,"1,277",,N/A,100
Imitation of Life,1934,7,No,7.5,"5,509",,72,88
One Night of Love,1934,7,No,5.6,724,,N/A,71
The Thin Man,1934,7,No,7.9,"32,186",,86,98
Viva Villa!,1934,7,No,6.3,"1,521",,N/A,60
The White Parade,1934,7,No,6.9,102,,N/A,57
Mutiny on the Bounty,1935,8,Yes,7.6,"24,557",,87,96
Alice Adams,1935,8,No,6.9,"4,440",,N/A,94
Broadway Melody of 1936,1935,8,No,6.8,"1,971",3607900,N/A,89
Captain Blood,1935,8,No,7.7,"15,549",,89,100
David Copperfield,1935,8,No,7.4,"4,691",,91,100
The Informer,1935,8,No,7.4,"7,000",,65,94
The Lives of a Bengal Lancer,1935,8,No,7.0,"3,199",2180000,N/A,100
A Midsummer Night's Dream,1935,8,No,6.8,"3,826",,N/A,92
Les Misérables,1935,8,No,7.7,"3,881",,N/A,85
Naughty Marietta,1935,8,No,6.5,"1,496",,N/A,56
Ruggles of Red Gap,1935,8,No,7.6,"4,441",,N/A,100
Top Hat,1935,8,No,7.7,"20,490",,93,100
The Great Ziegfeld,1936,9,Yes,6.6,"8,831",,69,72
Anthony Adverse,1936,9,No,6.3,"1,971",,N/A,20
Dodsworth,1936,9,No,7.8,"9,962",,N/A,90
Libeled Lady,1936,9,No,7.8,"8,776",,N/A,87
Mr. Deeds Goes to Town,1936,9,No,7.8,"22,908",,N/A,91
Romeo and Juliet,1936,9,No,6.5,"2,170",,N/A,78
San Francisco,1936,9,No,7.2,"6,030",,N/A,92
